block,function,text,type,dynamic,full_text
0,0,[external],0,"[3663100013.0, 0.0]",
0,0,alloca,0,"[3663100013.0, 3629676302.0]","['%2 = alloca i32*, align 8, !dbg !112']"
0,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32** %2, metadata !11, metadata !DIExpression()), !dbg !112']"
0,0,alloca,0,"[0, 0]","['%3 = alloca i32, align 4, !dbg !113']"
0,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32* %3, metadata !13, metadata !DIExpression()), !dbg !113']"
0,0,alloca,0,"[0, 0]","['%4 = alloca i32, align 4, !dbg !114']"
0,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32* %4, metadata !14, metadata !DIExpression()), !dbg !114']"
0,0,alloca,0,"[0, 0]","['%5 = alloca i32, align 4, !dbg !115']"
0,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32* %5, metadata !15, metadata !DIExpression()), !dbg !115']"
0,0,alloca,0,"[0, 0]","['%6 = alloca i32, align 4, !dbg !116']"
0,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32* %6, metadata !16, metadata !DIExpression()), !dbg !116']"
0,0,alloca,0,"[0, 0]","['%7 = alloca i32, align 4, !dbg !117']"
0,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32* %7, metadata !17, metadata !DIExpression()), !dbg !117']"
0,0,alloca,0,"[0, 0]","['%8 = alloca i32, align 4, !dbg !118']"
0,0,call,0,"[3663100013.0, 0.0]","['call void @llvm.dbg.value(metadata i32* %8, metadata !18, metadata !DIExpression()), !dbg !118']"
0,0,alloca,0,"[0, 0]","['%9 = alloca i32, align 4, !dbg !119']"
0,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32* %9, metadata !19, metadata !DIExpression()), !dbg !119']"
0,0,store,0,"[0, 0]","['store i32* %0, i32** %2, align 8, !dbg !120']"
0,0,i32**,1,,['i32** %2']
0,0,store,0,"[0, 0]","['store i32 0, i32* %3, align 4, !dbg !121']"
0,0,i32*,1,,['i32* %3']
