block,function,text,type,dynamic,full_text
0,0,[external],0,"[0.9935659999999805, 0.0]",
0,0,alloca,0,"[0, 0]","['%2 = alloca i32*, align 8']"
0,0,alloca,0,"[0, 0]","['%3 = alloca i32, align 4']"
0,0,alloca,0,"[0, 0]","['%4 = alloca i32, align 4']"
0,0,alloca,0,"[0, 0]","['%5 = alloca i32, align 4']"
0,0,alloca,0,"[0, 0]","['%6 = alloca i32, align 4']"
0,0,alloca,0,"[0, 0]","['%7 = alloca i32, align 4']"
0,0,alloca,0,"[0, 0]","['%8 = alloca i32, align 4']"
0,0,alloca,0,"[0, 0]","['%9 = alloca i32, align 4']"
0,0,store,0,"[0, 0]","['store i32* %0, i32** %2, align 8']"
0,0,i32**,1,,['i32** %2']
0,0,store,0,"[0, 0]","['store i32 0, i32* %3, align 4']"
0,0,i32*,1,,['i32* %3']
0,0,br,0,"[0, 0]",['br label %10']
1,0,load,0,"[0, 0]","['%11 = load i32, i32* %3, align 4']"
1,0,i32*,1,,['i32* %3']
1,0,icmp,0,"[0, 0]","['%12 = icmp slt i32 %11, 32']"
1,0,i32,1,,['i32 %11']
1,0,br,0,"[0, 0]","['br i1 %12, label %13, label %124']"
1,0,i1,1,,['i1 %12']
2,0,store,0,"[0, 0]","['store i32 0, i32* %4, align 4']"
2,0,i32*,1,,['i32* %4']
2,0,br,0,"[0, 0]",['br label %14']
3,0,load,0,"[0, 0]","['%15 = load i32, i32* %4, align 4']"
3,0,i32*,1,,['i32* %4']
3,0,icmp,0,"[0, 0]","['%16 = icmp slt i32 %15, 1']"
3,0,i32,1,,['i32 %15']
3,0,br,0,"[0, 0]","['br i1 %16, label %17, label %120']"
3,0,i1,1,,['i1 %16']
4,0,store,0,"[0, 0]","['store i32 0, i32* %5, align 4']"
4,0,i32*,1,,['i32* %5']
4,0,br,0,"[0, 0]",['br label %18']
5,0,load,0,"[0, 0]","['%19 = load i32, i32* %5, align 4']"
5,0,i32*,1,,['i32* %5']
5,0,icmp,0,"[0, 0]","['%20 = icmp slt i32 %19, 10']"
5,0,i32,1,,['i32 %19']
5,0,br,0,"[0, 0]","['br i1 %20, label %21, label %116']"
5,0,i1,1,,['i1 %20']
6,0,store,0,"[0, 0]","['store i32 0, i32* %6, align 4']"
6,0,i32*,1,,['i32* %6']
6,0,br,0,"[0, 0]",['br label %22']
7,0,load,0,"[0, 0]","['%23 = load i32, i32* %6, align 4']"
7,0,i32*,1,,['i32* %6']
7,0,icmp,0,"[0, 0]","['%24 = icmp slt i32 %23, 64']"
7,0,i32,1,,['i32 %23']
7,0,br,0,"[0, 0]","['br i1 %24, label %25, label %112']"
7,0,i1,1,,['i1 %24']
8,0,load,0,"[0, 0]","['%26 = load i32, i32* %3, align 4']"
8,0,i32*,1,,['i32* %3']
8,0,sext,0,"[0, 0]",['%27 = sext i32 %26 to i64']
8,0,i32,1,,['i32 %26']
8,0,getelementptr,0,"[0, 0]","['%28 = getelementptr inbounds [32 x [1 x [10 x [64 x float]]]], [32 x [1 x [10 x [64 x float]]]]* @y, i64 0, i64 %27']"
8,0,i64,1,,['i64 %27']
8,0,load,0,"[0, 0]","['%29 = load i32, i32* %4, align 4']"
8,0,i32*,1,,['i32* %4']
8,0,sext,0,"[0, 0]",['%30 = sext i32 %29 to i64']
8,0,i32,1,,['i32 %29']
8,0,getelementptr,0,"[0, 0]","['%31 = getelementptr inbounds [1 x [10 x [64 x float]]], [1 x [10 x [64 x float]]]* %28, i64 0, i64 %30']"
8,0,[1 x [10 x [64 x float]]]*,1,,['[1 x [10 x [64 x float]]]* %28']
8,0,i64,1,,['i64 %30']
