BenchmarkName, State, Action, PrevActions, Reward
benchmark://poj104-v0/1_17,1986463.0 1270354.0 0.6 1752344.0 0.0 0.0 0.0 0.57 0.0 0.0 0.0 61.0 61.0 24519.0 108766.0 17162.0 771204.0 5018.0 7656.0 450076.0 359041.0 9342.0 9342.0 359095.0 1211.0 5051.0 123.0 20.0,-slsr,,-0.29073011682351707
benchmark://poj104-v0/1_17,2012182.0 1168892.0 0.6 1751984.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 61.0 61.0 27293.0 95847.0 16907.0 762929.0 4882.0 7582.0 442280.0 358576.0 8167.0 8167.0 358630.0 1188.0 5016.0 125.0 23.0,-add-discriminators,-slsr,-0.1895939353102053
benchmark://poj104-v0/1_17,1993910.0 1129281.0 0.6 1752126.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 27498.0 117621.0 23043.0 765067.0 12741.0 7763.0 455489.0 359348.0 9390.0 9390.0 359402.0 1166.0 5182.0 125.0 26.0,-instcombine,-slsr -add-discriminators,-0.23104023308408456
benchmark://poj104-v0/1_17,1815257.0 1441385.0 0.73 1748714.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 61.0 61.0 27569.0 119649.0 23340.0 764181.0 13240.0 7709.0 448741.0 359438.0 9385.0 9385.0 359492.0 1007.0 5026.0 124.0 16.0,-globaldce,-slsr -add-discriminators -instcombine,-0.021822336573739783
benchmark://poj104-v0/1_79,1806608.0 1346774.0 0.62 1767636.0 0.0 0.0 0.0 0.59 0.0 0.0 0.0 61.0 61.0 28135.0 116974.0 17862.0 768329.0 6197.0 7605.0 429747.0 363101.0 9587.0 9587.0 363155.0 1027.0 4844.0 126.0 24.0,-loop-data-prefetch,,0.027172892381438683
benchmark://poj104-v0/1_79,1830598.0 1055441.0 0.55 1767059.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 61.0 61.0 27019.0 118884.0 17506.0 771307.0 5369.0 7213.0 434983.0 364465.0 9723.0 9723.0 364519.0 1016.0 5053.0 123.0 25.0,-mldst-motion,-loop-data-prefetch,0.16501181121146383
benchmark://poj104-v0/1_79,1996960.0 1316304.0 0.6 1768646.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 27378.0 115953.0 16929.0 778006.0 4980.0 7705.0 434512.0 363292.0 9043.0 9043.0 363346.0 1023.0 5098.0 125.0 20.0,-loweratomic,-loop-data-prefetch -mldst-motion,0.09914463886726066
benchmark://poj104-v0/1_79,1793012.0 1002100.0 0.54 1774041.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 61.0 61.0 26687.0 118798.0 23570.0 767167.0 13886.0 7506.0 427345.0 362723.0 9629.0 9629.0 362777.0 1023.0 4967.0 124.0 19.0,-gvn,-loop-data-prefetch -mldst-motion -loweratomic,0.04584140796543634
benchmark://poj104-v0/2_5,2458182.0 1507066.0 0.74 1734941.0 0.0 0.0 0.0 0.6 0.0 0.0 0.0 64.0 64.0 27115.0 118166.0 25119.0 742916.0 13641.0 7656.0 433768.0 354032.0 9086.0 9086.0 354086.0 1023.0 5004.0 126.0 25.0,-loop-simplifycfg,,-0.0925470547824072
benchmark://poj104-v0/2_5,1998411.0 1277764.0 0.6 1730933.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 64.0 64.0 27474.0 119730.0 24758.0 745226.0 13482.0 7938.0 437355.0 354696.0 9230.0 9230.0 354750.0 1049.0 5306.0 127.0 20.0,-lower-matrix-intrinsics,-loop-simplifycfg,-0.054617809579231284
benchmark://poj104-v0/2_5,1801679.0 1176752.0 0.54 1731905.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 64.0 64.0 28832.0 123478.0 24165.0 743030.0 13570.0 7653.0 434687.0 354668.0 9198.0 9198.0 354722.0 1080.0 5229.0 128.0 30.0,-globaldce,-loop-simplifycfg -lower-matrix-intrinsics,-0.029458888242301706
benchmark://poj104-v0/2_5,1888258.0 1196243.0 0.57 1730711.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 64.0 64.0 27270.0 119486.0 23777.0 745465.0 13162.0 7809.0 451675.0 354713.0 9188.0 9188.0 354767.0 1073.0 5189.0 130.0 25.0,-loop-deletion,-loop-simplifycfg -lower-matrix-intrinsics -globaldce,-0.11993504814480388
