BenchmarkName, State, Action, PrevActions, Reward
benchmark://poj104-small-v0/1_17,1839722.0 1183642.0 0.55 1751509.0 0.0 0.0 0.0 0.53 0.0 0.0 0.0 61.0 61.0 26114.0 98065.0 17513.0 766335.0 5151.0 7343.0 440541.0 361415.0 9309.0 9309.0 361469.0 1049.0 5274.0 125.0 20.0,-loop-reduce,,-0.32730000965425976
benchmark://poj104-small-v0/1_17,1949294.0 1182003.0 0.62 1763109.0 0.0 0.0 0.0 0.58 0.0 0.0 0.0 61.0 61.0 24355.0 104766.0 23043.0 762241.0 12730.0 7354.0 443888.0 360304.0 9336.0 9336.0 360358.0 1008.0 5144.0 123.0 17.0,-loop-instsimplify,-loop-reduce,-0.10811358118879258
benchmark://poj104-small-v0/1_17,1872738.0 1112152.0 0.56 1747618.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 61.0 61.0 26724.0 121149.0 18411.0 768474.0 6159.0 7769.0 451163.0 362166.0 9564.0 9564.0 362220.0 1054.0 5142.0 123.0 26.0,-mergefunc,-loop-reduce -loop-instsimplify,-0.05234433683476852
benchmark://poj104-small-v0/1_17,1892157.0 1328714.0 0.57 1753162.0 0.0 0.0 0.0 0.53 0.0 0.0 0.0 61.0 61.0 26967.0 97201.0 16447.0 763901.0 4819.0 7358.0 438202.0 359607.0 9313.0 9313.0 359661.0 1025.0 4983.0 120.0 26.0,-newgvn,-loop-reduce -loop-instsimplify -mergefunc,-0.22368213467456904
benchmark://poj104-small-v0/1_17,1501023.0 1484025.0 0.8 1750601.0 0.0 0.0 0.0 0.58 0.0 0.0 0.0 61.0 61.0 26414.0 118368.0 17273.0 776829.0 3696.0 8075.0 458283.0 359938.0 8945.0 8945.0 359992.0 1010.0 4784.0 121.0 20.0,-speculative-execution,-gvn-hoist -partially-inline-libcalls,-0.08406328955950673
benchmark://poj104-small-v0/1_17,1777850.0 1100761.0 0.53 1754644.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 28705.0 123822.0 17657.0 772849.0 5170.0 7546.0 455157.0 359145.0 9271.0 9271.0 359199.0 990.0 5428.0 124.0 19.0,-attributor,-gvn-hoist -partially-inline-libcalls -speculative-execution,-0.012701827009793188
benchmark://poj104-small-v0/1_17,1994652.0 1129742.0 0.6 1774420.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 61.0 61.0 27985.0 120183.0 23727.0 768263.0 13122.0 7437.0 454463.0 359609.0 9262.0 9262.0 359663.0 1083.0 5387.0 129.0 61.0,-indvars,-gvn-hoist -partially-inline-libcalls -speculative-execution -attributor,-0.06711770897351672
benchmark://poj104-small-v0/1_17,1653252.0 1227242.0 0.58 1749574.0 0.0 0.0 0.0 0.58 0.0 0.0 0.0 61.0 61.0 26679.0 97742.0 24026.0 768160.0 12713.0 7670.0 455207.0 359249.0 9302.0 9302.0 359303.0 1020.0 5161.0 124.0 17.0,-sccp,-gvn-hoist -partially-inline-libcalls -speculative-execution -attributor -indvars,-0.10229453498256347
benchmark://poj104-small-v0/1_79,1679829.0 1287153.0 0.62 1770091.0 0.0 0.0 0.0 0.53 0.0 0.0 0.0 61.0 61.0 27250.0 121202.0 23535.0 776132.0 12820.0 7697.0 441001.0 362490.0 9416.0 9416.0 362544.0 1040.0 5092.0 126.0 16.0,-loop-load-elim,-jump-threading -strip -redundant-dbg-inst-elim -instsimplify,-0.13585438227431604
benchmark://poj104-small-v0/1_79,1901584.0 1177122.0 0.57 1768325.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 61.0 61.0 26882.0 119255.0 21865.0 765766.0 6916.0 6115.0 421321.0 363114.0 9430.0 9430.0 363168.0 1097.0 4910.0 124.0 17.0,-loop-unswitch,-jump-threading -strip -redundant-dbg-inst-elim -instsimplify -loop-load-elim,-0.21369253051551332
benchmark://poj104-small-v0/1_79,1897101.0 1582736.0 0.76 1769462.0 0.0 0.0 0.0 0.58 0.0 0.0 0.0 61.0 61.0 29096.0 117336.0 23835.0 772420.0 13163.0 7881.0 432207.0 363564.0 9601.0 9601.0 363618.0 1148.0 5158.0 126.0 20.0,-loop-guard-widening,-jump-threading -strip -redundant-dbg-inst-elim -instsimplify -loop-load-elim -loop-unswitch,-0.24201294137941814
benchmark://poj104-small-v0/1_79,1961566.0 1181152.0 0.59 1767734.0 0.0 0.0 0.0 0.62 0.0 0.0 0.0 61.0 61.0 26787.0 101148.0 24833.0 770870.0 13413.0 7609.0 470283.0 363965.0 9721.0 9721.0 364019.0 1216.0 5138.0 124.0 24.0,-scalarizer,-jump-threading -strip -redundant-dbg-inst-elim -instsimplify -loop-load-elim -loop-unswitch -loop-guard-widening,-0.1324436376182212
