BenchmarkName, PrevState, State, Action, PrevActions, Reward
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-add-discriminators,opt -adce -add-discriminators input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-loop-data-prefetch,opt -adce -add-discriminators -loop-data-prefetch input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-mergeicmps,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-loop-guard-widening,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-loop-idiom,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-mergereturn,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-load-store-vectorizer,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-licm,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-correlated-propagation,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-loop-fusion,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-div-rem-pairs,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion -div-rem-pairs input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-sink,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion -div-rem-pairs -sink input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-scalarizer,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion -div-rem-pairs -sink -scalarizer input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-add-discriminators,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion -div-rem-pairs -sink -scalarizer -add-discriminators input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-mergeicmps,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion -div-rem-pairs -sink -scalarizer -add-discriminators -mergeicmps input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-tailcallelim,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion -div-rem-pairs -sink -scalarizer -add-discriminators -mergeicmps -tailcallelim input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,-rpo-functionattrs,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion -div-rem-pairs -sink -scalarizer -add-discriminators -mergeicmps -tailcallelim -rpo-functionattrs input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,1796417.0 1178371.0 0.52 1747049.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 61.0 61.0 25570.0 99573.0 16914.0 770425.0 4685.0 7610.0 437096.0 359499.0 7548.0 7548.0 359553.0 965.0 5083.0 124.0 17.0,2214090.0 1321282.0 0.65 1748030.0 0.0 0.0 0.0 0.58 0.0 0.0 0.0 61.0 61.0 27020.0 100170.0 23778.0 762921.0 13540.0 7400.0 444946.0 358413.0 8861.0 8861.0 358467.0 1040.0 4918.0 120.0 32.0,-globalopt,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion -div-rem-pairs -sink -scalarizer -add-discriminators -mergeicmps -tailcallelim -rpo-functionattrs -globalopt input.bc -o output.bc,-0.23250336642327477
benchmark://poj104-small-v0/1_17,2214090.0 1321282.0 0.65 1748030.0 0.0 0.0 0.0 0.58 0.0 0.0 0.0 61.0 61.0 27020.0 100170.0 23778.0 762921.0 13540.0 7400.0 444946.0 358413.0 8861.0 8861.0 358467.0 1040.0 4918.0 120.0 32.0,2214090.0 1321282.0 0.65 1748030.0 0.0 0.0 0.0 0.58 0.0 0.0 0.0 61.0 61.0 27020.0 100170.0 23778.0 762921.0 13540.0 7400.0 444946.0 358413.0 8861.0 8861.0 358467.0 1040.0 4918.0 120.0 32.0,-hotcoldsplit,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion -div-rem-pairs -sink -scalarizer -add-discriminators -mergeicmps -tailcallelim -rpo-functionattrs -globalopt -hotcoldsplit input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,2214090.0 1321282.0 0.65 1748030.0 0.0 0.0 0.0 0.58 0.0 0.0 0.0 61.0 61.0 27020.0 100170.0 23778.0 762921.0 13540.0 7400.0 444946.0 358413.0 8861.0 8861.0 358467.0 1040.0 4918.0 120.0 32.0,2214090.0 1321282.0 0.65 1748030.0 0.0 0.0 0.0 0.58 0.0 0.0 0.0 61.0 61.0 27020.0 100170.0 23778.0 762921.0 13540.0 7400.0 444946.0 358413.0 8861.0 8861.0 358467.0 1040.0 4918.0 120.0 32.0,-deadargelim,opt -adce -add-discriminators -loop-data-prefetch -mergeicmps -loop-guard-widening -loop-idiom -mergereturn -load-store-vectorizer -licm -correlated-propagation -adce -loop-fusion -div-rem-pairs -sink -scalarizer -add-discriminators -mergeicmps -tailcallelim -rpo-functionattrs -globalopt -hotcoldsplit -adce -deadargelim input.bc -o output.bc,0.0
