BenchmarkName,State,NextState,Action,CommandLine,Reward
benchmark://poj104-v0/28_982,1902754.0 1061621.0 0.54 1603661.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 62.0 62.0 24959.0 111451.0 17956.0 689686.0 6288.0 7202.0 424653.0 327864.0 8356.0 8356.0 327918.0 1053.0 5076.0 114.0 19.0,1902754.0 1061621.0 0.54 1603661.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 62.0 62.0 24959.0 111451.0 17956.0 689686.0 6288.0 7202.0 424653.0 327864.0 8356.0 8356.0 327918.0 1053.0 5076.0 114.0 19.0,-float2int,opt -infer-address-spaces -inline -mldst-motion -indvars -constprop -prune-eh -loweratomic -partial-inliner -loop-reroll -name-anon-globals -mergeicmps -hotcoldsplit -nary-reassociate -guard-widening -consthoist -cross-dso-cfi -loop-predication -float2int input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,1902754.0 1061621.0 0.54 1603661.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 62.0 62.0 24959.0 111451.0 17956.0 689686.0 6288.0 7202.0 424653.0 327864.0 8356.0 8356.0 327918.0 1053.0 5076.0 114.0 19.0,1902754.0 1061621.0 0.54 1603661.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 62.0 62.0 24959.0 111451.0 17956.0 689686.0 6288.0 7202.0 424653.0 327864.0 8356.0 8356.0 327918.0 1053.0 5076.0 114.0 19.0,-strip-debug-declare,opt -infer-address-spaces -inline -mldst-motion -indvars -constprop -prune-eh -loweratomic -partial-inliner -loop-reroll -name-anon-globals -mergeicmps -hotcoldsplit -nary-reassociate -guard-widening -consthoist -cross-dso-cfi -loop-predication -ee-instrument -strip-debug-declare input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,1902754.0 1061621.0 0.54 1603661.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 62.0 62.0 24959.0 111451.0 17956.0 689686.0 6288.0 7202.0 424653.0 327864.0 8356.0 8356.0 327918.0 1053.0 5076.0 114.0 19.0,1902754.0 1061621.0 0.54 1603661.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 62.0 62.0 24959.0 111451.0 17956.0 689686.0 6288.0 7202.0 424653.0 327864.0 8356.0 8356.0 327918.0 1053.0 5076.0 114.0 19.0,-coro-elide,opt -infer-address-spaces -inline -mldst-motion -indvars -constprop -prune-eh -loweratomic -partial-inliner -loop-reroll -name-anon-globals -mergeicmps -hotcoldsplit -nary-reassociate -guard-widening -consthoist -cross-dso-cfi -loop-predication -ee-instrument -coro-elide input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,1902754.0 1061621.0 0.54 1603661.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 62.0 62.0 24959.0 111451.0 17956.0 689686.0 6288.0 7202.0 424653.0 327864.0 8356.0 8356.0 327918.0 1053.0 5076.0 114.0 19.0,2249130.0 1460905.0 0.59 1608602.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 26085.0 119113.0 23271.0 690857.0 13215.0 7702.0 426733.0 328392.0 8473.0 8473.0 328446.0 1157.0 5354.0 114.0 22.0,-sancov,opt -instnamer -simple-loop-unswitch -sink -loop-deletion -licm -bdce -sancov input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,2249130.0 1460905.0 0.59 1608602.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 26085.0 119113.0 23271.0 690857.0 13215.0 7702.0 426733.0 328392.0 8473.0 8473.0 328446.0 1157.0 5354.0 114.0 22.0,2249130.0 1460905.0 0.59 1608602.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 26085.0 119113.0 23271.0 690857.0 13215.0 7702.0 426733.0 328392.0 8473.0 8473.0 328446.0 1157.0 5354.0 114.0 22.0,-loop-idiom,opt -instnamer -simple-loop-unswitch -sink -loop-deletion -licm -bdce -loop-idiom input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,2249130.0 1460905.0 0.59 1608602.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 26085.0 119113.0 23271.0 690857.0 13215.0 7702.0 426733.0 328392.0 8473.0 8473.0 328446.0 1157.0 5354.0 114.0 22.0,2249130.0 1460905.0 0.59 1608602.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 26085.0 119113.0 23271.0 690857.0 13215.0 7702.0 426733.0 328392.0 8473.0 8473.0 328446.0 1157.0 5354.0 114.0 22.0,-mergereturn,opt -instnamer -simple-loop-unswitch -sink -loop-deletion -licm -bdce -sancov -mergereturn input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,2249130.0 1460905.0 0.59 1608602.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 26085.0 119113.0 23271.0 690857.0 13215.0 7702.0 426733.0 328392.0 8473.0 8473.0 328446.0 1157.0 5354.0 114.0 22.0,2249130.0 1460905.0 0.59 1608602.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 26085.0 119113.0 23271.0 690857.0 13215.0 7702.0 426733.0 328392.0 8473.0 8473.0 328446.0 1157.0 5354.0 114.0 22.0,-loweratomic,opt -instnamer -simple-loop-unswitch -sink -loop-deletion -licm -bdce -sancov -loweratomic input.bc -o output.bc,0.0
benchmark://poj104-v0/93_1559,2249130.0 1460905.0 0.59 1608602.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 26085.0 119113.0 23271.0 690857.0 13215.0 7702.0 426733.0 328392.0 8473.0 8473.0 328446.0 1157.0 5354.0 114.0 22.0,2592277.0 1572097.0 0.85 1613354.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 61.0 61.0 24353.0 97034.0 25103.0 690539.0 14754.0 7460.0 423022.0 328583.0 8810.0 8810.0 328637.0 1204.0 5636.0 123.0 102.0,-loop-rotate,opt -float2int -forceattrs -sink -loop-guard-widening -functionattrs -always-inline -deadargelim -sroa -adce -loop-deletion -separate-const-offset-from-gep -nary-reassociate -newgvn -loop-versioning -lowerinvoke -consthoist -instnamer -partial-inliner -loop-unroll -early-cse-memssa -gvn-hoist -die -loop-rotate input.bc -o output.bc,0.0
benchmark://poj104-v0/93_1559,2592277.0 1572097.0 0.85 1613354.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 61.0 61.0 24353.0 97034.0 25103.0 690539.0 14754.0 7460.0 423022.0 328583.0 8810.0 8810.0 328637.0 1204.0 5636.0 123.0 102.0,2592277.0 1572097.0 0.85 1613354.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 61.0 61.0 24353.0 97034.0 25103.0 690539.0 14754.0 7460.0 423022.0 328583.0 8810.0 8810.0 328637.0 1204.0 5636.0 123.0 102.0,-separate-const-offset-from-gep,opt -float2int -forceattrs -sink -loop-guard-widening -functionattrs -always-inline -deadargelim -sroa -adce -loop-deletion -separate-const-offset-from-gep -nary-reassociate -newgvn -loop-versioning -lowerinvoke -consthoist -instnamer -partial-inliner -loop-unroll -early-cse-memssa -gvn-hoist -die -separate-const-offset-from-gep input.bc -o output.bc,0.0
benchmark://poj104-v0/93_1559,2592277.0 1572097.0 0.85 1613354.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 61.0 61.0 24353.0 97034.0 25103.0 690539.0 14754.0 7460.0 423022.0 328583.0 8810.0 8810.0 328637.0 1204.0 5636.0 123.0 102.0,2592277.0 1572097.0 0.85 1613354.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 61.0 61.0 24353.0 97034.0 25103.0 690539.0 14754.0 7460.0 423022.0 328583.0 8810.0 8810.0 328637.0 1204.0 5636.0 123.0 102.0,-consthoist,opt -float2int -forceattrs -sink -loop-guard-widening -functionattrs -always-inline -deadargelim -sroa -adce -loop-deletion -separate-const-offset-from-gep -nary-reassociate -newgvn -loop-versioning -lowerinvoke -consthoist -instnamer -partial-inliner -loop-unroll -early-cse-memssa -gvn-hoist -die -loop-rotate -consthoist input.bc -o output.bc,0.0
