BenchmarkName, State, Action, PrevActions, Reward
benchmark://poj104-v0/1_17,1740750.0,-partial-inliner,-scalarizer -mem2reg -strip-dead-prototypes -rpo-functionattrs -loop-fusion -lower-guard-intrinsic -globalsplit -loweratomic -lower-widenable-condition -reg2mem -nary-reassociate -instnamer -loop-simplifycfg -always-inline -ee-instrument -mergefunc -simple-loop-unswitch -forceattrs -ipconstprop -break-crit-edges -loop-unswitch -add-discriminators -canonicalize-aliases -post-inline-ee-instrument -sccp -coro-elide -ipsccp -barrier -dce,-0.10467484598927981
benchmark://poj104-v0/1_17,1754445.0,-ipsccp,-scalarizer -mem2reg -strip-dead-prototypes -rpo-functionattrs -loop-fusion -lower-guard-intrinsic -globalsplit -loweratomic -lower-widenable-condition -reg2mem -nary-reassociate -instnamer -loop-simplifycfg -always-inline -ee-instrument -mergefunc -simple-loop-unswitch -forceattrs -ipconstprop -break-crit-edges -loop-unswitch -add-discriminators -canonicalize-aliases -post-inline-ee-instrument -sccp -coro-elide -ipsccp -barrier -dce -partial-inliner,-0.05078491740966709
benchmark://poj104-v0/1_17,1750899.0,-die,-scalarizer -mem2reg -strip-dead-prototypes -rpo-functionattrs -loop-fusion -lower-guard-intrinsic -globalsplit -loweratomic -lower-widenable-condition -reg2mem -nary-reassociate -instnamer -loop-simplifycfg -always-inline -ee-instrument -mergefunc -simple-loop-unswitch -forceattrs -ipconstprop -break-crit-edges -loop-unswitch -add-discriminators -canonicalize-aliases -post-inline-ee-instrument -sccp -coro-elide -ipsccp -barrier -dce -partial-inliner -ipsccp,-0.2548144204311673
benchmark://poj104-v0/1_17,1884199.0,-float2int,-scalarizer -mem2reg -strip-dead-prototypes -rpo-functionattrs -loop-fusion -lower-guard-intrinsic -globalsplit -loweratomic -lower-widenable-condition -reg2mem -nary-reassociate -instnamer -loop-simplifycfg -always-inline -ee-instrument -mergefunc -simple-loop-unswitch -forceattrs -ipconstprop -break-crit-edges -loop-unswitch -add-discriminators -canonicalize-aliases -post-inline-ee-instrument -sccp -coro-elide -ipsccp -barrier -dce -partial-inliner -ipsccp -die,-0.049954368249650424
benchmark://poj104-v0/1_17,1891484.0,-loop-sink,-scalarizer -mem2reg -strip-dead-prototypes -rpo-functionattrs -loop-fusion -lower-guard-intrinsic -globalsplit -loweratomic -lower-widenable-condition -reg2mem -nary-reassociate -instnamer -loop-simplifycfg -always-inline -ee-instrument -mergefunc -simple-loop-unswitch -forceattrs -ipconstprop -break-crit-edges -loop-unswitch -add-discriminators -canonicalize-aliases -post-inline-ee-instrument -sccp -coro-elide -ipsccp -barrier -dce -partial-inliner -ipsccp -die -float2int,-0.01176563806639947
benchmark://poj104-v0/1_17,1926734.0,-instnamer,-scalarizer -mem2reg -strip-dead-prototypes -rpo-functionattrs -loop-fusion -lower-guard-intrinsic -globalsplit -loweratomic -lower-widenable-condition -reg2mem -nary-reassociate -instnamer -loop-simplifycfg -always-inline -ee-instrument -mergefunc -simple-loop-unswitch -forceattrs -ipconstprop -break-crit-edges -loop-unswitch -add-discriminators -canonicalize-aliases -post-inline-ee-instrument -sccp -coro-elide -ipsccp -barrier -dce -partial-inliner -ipsccp -die -float2int -loop-sink,-0.05024850920131041
benchmark://poj104-v0/1_17,1908831.0,-inferattrs,,0.03551694987233941
benchmark://poj104-v0/1_17,1757539.0,-nary-reassociate,-inferattrs,0.06953925328101121
benchmark://poj104-v0/1_17,1673953.0,-alignment-from-assumptions,-inferattrs -nary-reassociate,0.02671951323092744
benchmark://poj104-v0/1_17,1854043.0,-add-discriminators,-inferattrs -nary-reassociate -alignment-from-assumptions,-0.1312222069578016
benchmark://poj104-v0/1_17,1967198.0,-consthoist,-inferattrs -nary-reassociate -alignment-from-assumptions -add-discriminators,-0.1816109461476941
benchmark://poj104-v0/1_17,1981896.0,-globaldce,-inferattrs -nary-reassociate -alignment-from-assumptions -add-discriminators -consthoist,-0.15549852616001839
benchmark://poj104-v0/1_17,1870605.0,-mergeicmps,-redundant-dbg-inst-elim -strip-debug-declare -strip-dead-prototypes -globalopt -loop-fusion -sroa -licm -mergereturn -loop-idiom -loop-data-prefetch -div-rem-pairs -correlated-propagation -lower-guard-intrinsic -loop-rotate -constprop -consthoist -float2int -loop-unroll -strip -rewrite-statepoints-for-gc -simple-loop-unswitch -loop-guard-widening -rpo-functionattrs,-0.1424434562473885
