node,rank,cycles (I),cycles (E),nid,name,type,file,line,module,llvm_ins
"{'name': 'hrtimer_interrupt [[vmlinux]]', 'type': 'function'}",0,11133973.0,0.0,82,hrtimer_interrupt [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': 'smp_apic_timer_interrupt [[vmlinux]]', 'type': 'function'}",0,11133973.0,0.0,80,smp_apic_timer_interrupt [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': '__hrtimer_run_queues [[vmlinux]]', 'type': 'function'}",0,11133973.0,0.0,84,__hrtimer_run_queues [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': 'tick_sched_timer [[vmlinux]]', 'type': 'function'}",0,11133973.0,0.0,86,tick_sched_timer [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': 'tick_sched_do_timer [[vmlinux]]', 'type': 'function'}",0,11133973.0,0.0,88,tick_sched_do_timer [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': 'update_wall_time [[vmlinux]]', 'type': 'function'}",0,11133973.0,0.0,90,update_wall_time [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': 'timekeeping_advance [[vmlinux]]', 'type': 'function'}",0,11133973.0,0.0,92,timekeeping_advance [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': '105:__irqentry_text_start [[vmlinux]]', 'type': 'function'}",0,11133973.0,0.0,78,105:__irqentry_text_start [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': 'timekeeping_update [[vmlinux]]', 'type': 'function'}",0,11133973.0,0.0,94,timekeeping_update [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'file': '<unknown file> [[vmlinux]]', 'line': '0', 'type': 'statement'}",0,11133973.0,11133973.0,97,<unknown file> [[vmlinux]]:0,S,<unknown file> [[vmlinux]],0,,dummy
"{'name': '90:entry_SYSCALL_64_after_hwframe [[vmlinux]]', 'type': 'function'}",0,2768.0,0.0,25,90:entry_SYSCALL_64_after_hwframe [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': 'do_syscall_64 [[vmlinux]]', 'type': 'function'}",0,2768.0,0.0,27,do_syscall_64 [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': '__x64_sys_rt_sigreturn [[vmlinux]]', 'type': 'function'}",0,2768.0,0.0,29,__x64_sys_rt_sigreturn [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': 'restore_sigcontext [[vmlinux]]', 'type': 'function'}",0,2768.0,0.0,31,restore_sigcontext [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': 'fpu__restore_sig [[vmlinux]]', 'type': 'function'}",0,2768.0,0.0,33,fpu__restore_sig [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': 'update_vsyscall [[vmlinux]]', 'type': 'function'}",0,11133973.0,0.0,96,update_vsyscall [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'name': '__fpu_restore_sig [[vmlinux]]', 'type': 'function'}",0,2768.0,0.0,35,__fpu_restore_sig [[vmlinux]],PF,<unknown file> [[vmlinux]],0,[vmlinux],dummy
"{'file': '<unknown file> [[vmlinux]]', 'line': '0', 'type': 'statement'}",0,2768.0,2768.0,36,<unknown file> [[vmlinux]]:0,S,<unknown file> [[vmlinux]],0,,dummy
"{'file': './src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll', 'line': '1', 'type': 'statement'}",0,0.0,0.0,14,benchmark.ll:1,S,./src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll,1,,"%2 = alloca i32*, align 8, !dbg !112"
"{'name': '168:conv2d', 'type': 'function'}",0,3599997528.0,3588863555.0,41,168:conv2d,PF,./src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll,1,/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.exe,"%2 = alloca i32*, align 8, !dbg !112"
"{'file': './src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll', 'line': '1', 'type': 'statement'}",0,0.0,0.0,42,benchmark.ll:1,S,./src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll,1,,"%2 = alloca i32*, align 8, !dbg !112"
"{'name': '161:conv2d', 'type': 'function'}",0,5540774.0,5538006.0,13,161:conv2d,PF,./src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll,1,/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.exe,"%2 = alloca i32*, align 8, !dbg !112"
"{'file': './src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll', 'line': '14', 'type': 'loop'}",0,3599997528.0,0.0,43,Loop@benchmark.ll:14,L,./src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll,14,,"call void @llvm.dbg.value(metadata i32* %8, metadata !18, metadata !DIExpression()), !dbg !118"
"{'file': './src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll', 'line': '14', 'type': 'loop'}",0,5540774.0,0.0,15,Loop@benchmark.ll:14,L,./src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll,14,,"call void @llvm.dbg.value(metadata i32* %8, metadata !18, metadata !DIExpression()), !dbg !118"
"{'file': './src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll', 'line': '19', 'type': 'loop'}",0,3599997528.0,0.0,44,Loop@benchmark.ll:19,L,./src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll,19,,"br label %10, !dbg !122"
"{'file': './src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll', 'line': '19', 'type': 'loop'}",0,5540774.0,0.0,16,Loop@benchmark.ll:19,L,./src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll,19,,"br label %10, !dbg !122"
"{'file': './src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll', 'line': '24', 'type': 'loop'}",0,3599997528.0,0.0,45,Loop@benchmark.ll:24,L,./src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll,24,,"br i1 %12, label %13, label %124, !dbg !125"
"{'file': './src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll', 'line': '24', 'type': 'loop'}",0,5540774.0,0.0,17,Loop@benchmark.ll:24,L,./src/dev/shm/compiler_gym_dx4/s/0215T162033-720967-4aaf/benchmark.ll,24,,"br i1 %12, label %13, label %124, !dbg !125"
